Latitude,Longitude,Taxon.Name,Locality,Data.Institution,Collection.ID
22.21572800136343,-159.5799011,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc123
22.216122704896655,-159.5753226,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc124
22.21595213278824,-159.5818227,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc125
22.215234788822226,-159.5788994,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc126
22.21508410804849,-159.5752934,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc127
22.21513185676512,-159.5755902,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc128
22.215238102472668,-159.5757067,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc129
22.21532848358944,-159.5753553,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc130
22.215075995868784,-159.5751929,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc131
22.214681843223595,-159.5749574,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc132
22.21422541297821,-159.5751676,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc133
22.21303859714589,-159.5800941,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc134
22.212558987733036,-159.5805386,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc135
22.21267416067764,-159.5795888,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc136
22.21164445791491,-159.5756821,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc137
22.209772091993905,-159.5802157,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc138
22.209802669364336,-159.5767387,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc139
22.209525290280155,-159.5771987,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc140
22.20948098808015,-159.576663,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc141
22.208952427525876,-159.5811951,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc142
22.208143817147086,-159.5822336,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc143
22.208612890009082,-159.5820344,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc144
22.208727321807118,-159.5826038,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc145
22.207755516662232,-159.5820365,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc146
22.206247590798377,-159.5835962,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc147
22.20657731852115,-159.6029184,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc148
22.20512801206441,-159.5829304,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc149
22.205318560048145,-159.5816731,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc150
22.204991110428185,-159.598131,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc151
22.19916562250014,-159.6048391,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc152
22.19964068734172,-159.6051114,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc153
22.199299472154912,-159.6062573,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc154
22.199304198070546,-159.6064986,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc155
22.199576018806408,-159.6056814,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc156
22.19937174083917,-159.6056316,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc157
22.20002481251983,-159.6041676,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc158
22.19847370329913,-159.6059769,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc159
22.19912008277759,-159.6054163,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc160
22.19919727508831,-159.6059497,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc161
22.19865145616281,-159.6061315,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc162
22.19894921883973,-159.6052831,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc163
22.19879068448177,-159.5981086,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc164
22.198538064832896,-159.6083177,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc165
22.19811198,-159.5995892,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc166
22.197619507771464,-159.5969142,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc167
22.198091989730393,-159.5974395,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc168
22.197639471227223,-159.5988337,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc169
22.19737909351226,-159.5974307,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc170
22.19722399927894,-159.5968804,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc171
22.197230956541908,-159.5980052,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc172
22.197046427099647,-159.5981774,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc173
22.197515656996387,-159.5974037,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc174
22.19771015873422,-159.5981813,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc175
22.19697124417595,-159.5972283,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 3",sample institution 3,abc176
22.19650041018502,-159.5973485,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 1",sample institution 1,abc177
22.19742372634408,-159.5981108,Ochrosia kauaiensis,"for testing purposes only, locality data removed, non-listed species, gps data anonymized 2",sample institution 2,abc178
